,settlementDate,settlementPeriod,solar,wind_off,wind_on
2016010148,2016-01-01,48,0,3825.016,5576.201
2016010147,2016-01-01,47,0,3825.016,5576.201
2016010146,2016-01-01,46,0,3846.641,5562.821
2016010145,2016-01-01,45,0,3846.641,5562.821
2016010144,2016-01-01,44,0,3864.86,5541.159
2016010143,2016-01-01,43,0,3864.86,5541.159
2016010142,2016-01-01,42,0,3899.78,5448.622
2016010141,2016-01-01,41,0,3899.78,5448.622
2016010140,2016-01-01,40,0,3913.638,5341.714
2016010139,2016-01-01,39,0,3913.638,5341.714
2016010138,2016-01-01,38,0,3887.913,5225.046
2016010137,2016-01-01,37,0,3887.913,5225.046
2016010136,2016-01-01,36,0,3859.219,4961.299
2016010135,2016-01-01,35,3,3859.219,4961.299
2016010134,2016-01-01,34,5,3758.182,4661.472
2016010133,2016-01-01,33,59,3758.182,4661.472
2016010132,2016-01-01,32,112,3604.482,4336.206
2016010131,2016-01-01,31,231,3604.482,4336.206
2016010130,2016-01-01,30,349,3329.175,3835.489
2016010129,2016-01-01,29,479,3329.175,3835.489
2016010128,2016-01-01,28,608,2954.276,3477.187
2016010127,2016-01-01,27,710,2954.276,3477.187
2016010126,2016-01-01,26,812,2471.562,3107.851
2016010125,2016-01-01,25,823,2471.562,3107.851
2016010124,2016-01-01,24,833,1938.881,2991.199
2016010123,2016-01-01,23,747,1938.881,2991.199
2016010122,2016-01-01,22,661,1473.416,2986.413
2016010121,2016-01-01,21,518,1473.416,2986.413
2016010120,2016-01-01,20,374,1223.331,2874.273
2016010119,2016-01-01,19,255,1223.331,2874.273
2016010118,2016-01-01,18,136,980.348,2798.005
2016010117,2016-01-01,17,68,980.348,2798.005
2016010116,2016-01-01,16,0,762.264,2788.938
2016010115,2016-01-01,15,0,762.264,2788.938
2016010114,2016-01-01,14,0,637.386,2894.297
2016010113,2016-01-01,13,0,637.386,2894.297
2016010112,2016-01-01,12,0,789.5,3162.889
2016010111,2016-01-01,11,0,789.5,3162.889
2016010110,2016-01-01,10,0,1046.25,3411.945
2016010109,2016-01-01,9,0,1046.25,3411.945
2016010108,2016-01-01,8,0,1424.783,3712.846
2016010107,2016-01-01,7,0,1424.783,3712.846
2016010106,2016-01-01,6,0,1895.858,4052.756
2016010105,2016-01-01,5,0,1895.858,4052.756
2016010104,2016-01-01,4,0,2391.312,4410.84
2016010103,2016-01-01,3,0,2391.312,4410.84
2016010102,2016-01-01,2,0,2844.766,4666.853
2016010101,2016-01-01,1,0,2844.766,4666.853
2016010248,2016-01-02,48,0,2768.596,3934.152
2016010247,2016-01-02,47,0,2768.596,3934.152
2016010246,2016-01-02,46,0,2795.837,3935.927
2016010245,2016-01-02,45,0,2795.837,3935.927
2016010244,2016-01-02,44,0,2789.088,3676.418
2016010243,2016-01-02,43,0,2789.088,3676.418
2016010242,2016-01-02,42,0,2840.497,3679.828
2016010241,2016-01-02,41,0,2840.497,3679.828
2016010240,2016-01-02,40,0,2917.487,3680.278
2016010239,2016-01-02,39,0,2917.487,3680.278
2016010238,2016-01-02,38,0,2999.45,3713.412
2016010237,2016-01-02,37,0,2999.45,3713.412
2016010236,2016-01-02,36,0,3115.807,3782.657
2016010235,2016-01-02,35,4,3115.807,3782.657
2016010234,2016-01-02,34,8,3219.292,3853.791
2016010233,2016-01-02,33,60,3219.292,3853.791
2016010232,2016-01-02,32,111,3336.889,3950.273
2016010231,2016-01-02,31,196,3336.889,3950.273
2016010230,2016-01-02,30,280,3457.254,4089.041
2016010229,2016-01-02,29,341,3457.254,4089.041
2016010228,2016-01-02,28,401,3563.052,4233.918
2016010227,2016-01-02,27,428,3563.052,4233.918
2016010226,2016-01-02,26,455,3630.889,4318.976
2016010225,2016-01-02,25,440,3630.889,4318.976
2016010224,2016-01-02,24,424,3724.786,4587.214
2016010223,2016-01-02,23,373,3724.786,4587.214
2016010222,2016-01-02,22,321,3781.375,4789.373
2016010221,2016-01-02,21,245,3781.375,4789.373
2016010220,2016-01-02,20,169,3892.525,5126.141
2016010219,2016-01-02,19,103,3892.525,5126.141
2016010218,2016-01-02,18,36,3902.008,5263.457
2016010217,2016-01-02,17,18,3902.008,5263.457
2016010216,2016-01-02,16,0,3917.854,5414.818
2016010215,2016-01-02,15,0,3917.854,5414.818
2016010214,2016-01-02,14,0,3913.662,5541.73
2016010213,2016-01-02,13,0,3913.662,5541.73
2016010212,2016-01-02,12,0,3873.095,5676.571
2016010211,2016-01-02,11,0,3873.095,5676.571
2016010210,2016-01-02,10,0,3826.212,5748.879
2016010209,2016-01-02,9,0,3826.212,5748.879
2016010208,2016-01-02,8,0,3800.302,5795.706
2016010207,2016-01-02,7,0,3800.302,5795.706
2016010206,2016-01-02,6,0,3785.798,5883.576
2016010205,2016-01-02,5,0,3785.798,5883.576
2016010204,2016-01-02,4,0,3777.39,5947.983
2016010203,2016-01-02,3,0,3777.39,5947.983
2016010202,2016-01-02,2,0,3772.237,5958.3
2016010201,2016-01-02,1,0,3772.237,5958.3
2016010348,2016-01-03,48,0,1723.823,3565.248
2016010347,2016-01-03,47,0,1723.823,3565.248
2016010346,2016-01-03,46,0,2112.715,3814.817
2016010345,2016-01-03,45,0,2112.715,3814.817
2016010344,2016-01-03,44,0,2435.432,4064.119
2016010343,2016-01-03,43,0,2435.432,4064.119
2016010342,2016-01-03,42,0,2867.498,4352.646
2016010341,2016-01-03,41,0,2867.498,4352.646
2016010340,2016-01-03,40,0,3130.676,4598.335
2016010339,2016-01-03,39,0,3130.676,4598.335
2016010338,2016-01-03,38,0,3315.858,4796.836
2016010337,2016-01-03,37,0,3315.858,4796.836
2016010336,2016-01-03,36,0,3524.575,4952.72
2016010335,2016-01-03,35,11,3524.575,4952.72
2016010334,2016-01-03,34,21,3694.933,5109.707
2016010333,2016-01-03,33,94,3694.933,5109.707
2016010332,2016-01-03,32,166,3821.168,5289.801
2016010331,2016-01-03,31,264,3821.168,5289.801
2016010330,2016-01-03,30,361,3865.193,5303.646
2016010329,2016-01-03,29,411,3865.193,5303.646
2016010328,2016-01-03,28,461,3840.003,5286.581
2016010327,2016-01-03,27,465,3840.003,5286.581
2016010326,2016-01-03,26,469,3796.089,5130.96
2016010325,2016-01-03,25,438,3796.089,5130.96
2016010324,2016-01-03,24,407,3659.594,4944.717
2016010323,2016-01-03,23,353,3659.594,4944.717
2016010322,2016-01-03,22,299,3437.486,4739.383
2016010321,2016-01-03,21,230,3437.486,4739.383
2016010320,2016-01-03,20,160,3098.481,4655.317
2016010319,2016-01-03,19,104,3098.481,4655.317
2016010318,2016-01-03,18,47,2649.91,4390.99
2016010317,2016-01-03,17,24,2649.91,4390.99
2016010316,2016-01-03,16,0,2311.502,4149.202
2016010315,2016-01-03,15,0,2311.502,4149.202
2016010314,2016-01-03,14,0,2134.355,3978.685
2016010313,2016-01-03,13,0,2134.355,3978.685
2016010312,2016-01-03,12,0,2287.046,3857.784
2016010311,2016-01-03,11,0,2287.046,3857.784
2016010310,2016-01-03,10,0,2455.252,3819.947
2016010309,2016-01-03,9,0,2455.252,3819.947
2016010308,2016-01-03,8,0,2570.722,3822.715
