Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
"31/12/2017 23:03:41","31/12/2017","SAP, hourly actual","1.7372","01/01/2018 08:30:02",""
"31/12/2017 22:02:01","31/12/2017","SAP, hourly actual","1.7385","01/01/2018 08:30:02",""
"31/12/2017 21:03:31","31/12/2017","SAP, hourly actual","1.7397","01/01/2018 08:30:02",""
"31/12/2017 20:04:10","31/12/2017","SAP, hourly actual","1.7424","01/01/2018 08:30:02",""
"31/12/2017 19:06:19","31/12/2017","SAP, hourly actual","1.7425","01/01/2018 08:30:02",""
"31/12/2017 18:01:38","31/12/2017","SAP, hourly actual","1.7425","01/01/2018 08:30:02",""
"31/12/2017 17:02:23","31/12/2017","SAP, hourly actual","1.7422","01/01/2018 08:30:02",""
"31/12/2017 16:06:27","31/12/2017","SAP, hourly actual","1.7436","01/01/2018 08:30:02",""
"31/12/2017 15:03:25","31/12/2017","SAP, hourly actual","1.7506","01/01/2018 08:30:02",""
"31/12/2017 14:03:00","31/12/2017","SAP, hourly actual","1.7607","01/01/2018 08:30:02",""
"31/12/2017 13:04:01","31/12/2017","SAP, hourly actual","1.7689","01/01/2018 08:30:02",""
"31/12/2017 12:07:42","31/12/2017","SAP, hourly actual","1.7715","01/01/2018 08:30:02",""
"31/12/2017 11:40:00","30/12/2017","Highest SAP in last 18 months","2.3845","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","30/12/2017","SAP, 30 day rolling average","2.0041","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","30/12/2017","SAP, 7 Day rolling average","1.8695","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","30/12/2017","SAP, Actual Day","1.8163","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","29/12/2017","Highest SAP in last 18 months","2.3845","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","29/12/2017","SAP, 30 day rolling average","2.0073","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","29/12/2017","SAP, 7 Day rolling average","1.8808","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","29/12/2017","SAP, Actual Day","1.7977","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","28/12/2017","SAP, 30 day rolling average","2.0078","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","28/12/2017","SAP, 7 Day rolling average","1.8897","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","28/12/2017","SAP, Actual Day","1.9309","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","27/12/2017","SAP, 30 day rolling average","2.0084","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","27/12/2017","SAP, 7 Day rolling average","1.9056","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","27/12/2017","SAP, Actual Day","1.8949","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","26/12/2017","SAP, 30 day rolling average","2.0068","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","26/12/2017","SAP, 7 Day rolling average","1.9141","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","26/12/2017","SAP, Actual Day","1.9423","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","25/12/2017","SAP, 30 day rolling average","2.0091","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","25/12/2017","SAP, 7 Day rolling average","1.9624","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","25/12/2017","SAP, Actual Day","1.8176","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","24/12/2017","SAP, 30 day rolling average","2.0119","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","24/12/2017","SAP, 7 Day rolling average","2.0035","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","24/12/2017","SAP, Actual Day","1.8237","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","23/12/2017","SAP, 30 day rolling average","2.0120","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","23/12/2017","SAP, 7 Day rolling average","2.0456","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","23/12/2017","SAP, Actual Day","1.8793","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","22/12/2017","SAP, 30 day rolling average","2.0102","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","22/12/2017","SAP, 7 Day rolling average","2.0703","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","22/12/2017","SAP, Actual Day","1.8772","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","21/12/2017","SAP, 30 day rolling average","2.0030","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","21/12/2017","SAP, 7 Day rolling average","2.0788","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","21/12/2017","SAP, Actual Day","1.9927","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","20/12/2017","SAP, 30 day rolling average","1.9976","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","20/12/2017","SAP, 7 Day rolling average","2.0962","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","20/12/2017","SAP, Actual Day","2.0067","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","19/12/2017","SAP, 30 day rolling average","1.9908","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","19/12/2017","SAP, 7 Day rolling average","2.1509","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","19/12/2017","SAP, Actual Day","2.0014","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","18/12/2017","SAP, 30 day rolling average","1.9772","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","18/12/2017","SAP, 7 Day rolling average","2.1720","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","18/12/2017","SAP, Actual Day","2.1556","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","17/12/2017","SAP, 30 day rolling average","1.9667","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","17/12/2017","SAP, 7 Day rolling average","2.1650","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","17/12/2017","SAP, Actual Day","2.1115","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","16/12/2017","SAP, 30 day rolling average","1.9527","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","16/12/2017","SAP, 7 Day rolling average","2.1426","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","16/12/2017","SAP, Actual Day","2.1744","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","15/12/2017","SAP, 30 day rolling average","1.9434","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","15/12/2017","SAP, 7 Day rolling average","2.1339","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","15/12/2017","SAP, Actual Day","2.0497","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","14/12/2017","SAP, 30 day rolling average","1.9345","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","14/12/2017","SAP, 7 Day rolling average","2.1331","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","14/12/2017","SAP, Actual Day","2.0525","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","13/12/2017","SAP, 30 day rolling average","1.9263","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","13/12/2017","SAP, 7 Day rolling average","2.1046","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","13/12/2017","SAP, Actual Day","2.1283","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","12/12/2017","SAP, 30 day rolling average","1.9076","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","12/12/2017","SAP, 7 Day rolling average","2.0395","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","12/12/2017","SAP, Actual Day","2.3845","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","11/12/2017","SAP, 30 day rolling average","1.8916","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","11/12/2017","SAP, 7 Day rolling average","1.9986","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","11/12/2017","SAP, Actual Day","2.3031","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","10/12/2017","SAP, 30 day rolling average","1.8823","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","10/12/2017","SAP, 7 Day rolling average","1.9716","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","10/12/2017","SAP, Actual Day","2.0625","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","09/12/2017","SAP, 30 day rolling average","1.8757","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","09/12/2017","SAP, 7 Day rolling average","1.9597","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","09/12/2017","SAP, Actual Day","2.0178","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","08/12/2017","SAP, 30 day rolling average","1.8690","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","08/12/2017","SAP, 7 Day rolling average","1.9597","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","08/12/2017","SAP, Actual Day","1.9885","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","07/12/2017","SAP, 30 day rolling average","1.8580","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","07/12/2017","SAP, 7 Day rolling average","1.9549","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","07/12/2017","SAP, Actual Day","2.0471","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","06/12/2017","SAP, 30 day rolling average","1.8512","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","06/12/2017","SAP, 7 Day rolling average","1.9499","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","06/12/2017","SAP, Actual Day","1.9288","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","05/12/2017","SAP, 30 day rolling average","1.8412","01/01/2018 07:10:21","L"
"31/12/2017 11:40:00","05/12/2017","SAP, 7 Day rolling average","1.9523","01/01/2018 07:10:21","L"
